kind,max_depth,min_samples_leaf,ccp_alpha,prob_threshold,train_val_score,train_val_mean,train_val_sharpe
day_tree,3,60,0.0,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.001,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.001,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.001,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.003,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.003,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.003,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.01,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.01,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,60,0.01,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.0,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,2,60,0.0,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.003,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.01,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.001,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.001,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.001,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.003,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.003,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.01,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.01,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.0,0.6,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.0,0.55,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,1,60,0.0,0.5,342.4889602336886,454.09191122400694,1.7518037406501752
day_tree,3,40,0.0,0.65,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,2,25,0.003,0.55,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.0,0.5,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.0,0.55,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.0,0.6,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.001,0.55,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.001,0.5,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,2,25,0.0,0.55,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.001,0.6,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.001,0.65,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.003,0.5,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.003,0.55,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.003,0.6,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.003,0.65,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.01,0.5,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.01,0.55,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.01,0.6,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,3,40,0.01,0.65,326.1073472366441,417.3182437099982,1.8908493547541412
day_tree,2,25,0.0,0.5,326.1073472366441,417.3182437099982,1.8908493547541412
